lag_s,msd_um2
5.000000000000000104e-04,2.453450870234519243e-04
4.500000000000000527e-03,2.161030890420079231e-03
8.500000000000000611e-03,4.073831252753734589e-03
1.300000000000000114e-02,6.225305609405040741e-03
1.700000000000000122e-02,8.133792318403720856e-03
2.150000000000000175e-02,1.028618216514587402e-02
2.550000000000000183e-02,1.220178138464689255e-02
2.999999999999999889e-02,1.435422059148550034e-02
3.400000000000000244e-02,1.626713015139102936e-02
3.849999999999999950e-02,1.841325312852859497e-02
4.250000000000000305e-02,2.032452635467052460e-02
4.700000000000000011e-02,2.247463352978229523e-02
5.100000000000000366e-02,2.438632771372795105e-02
5.500000000000000028e-02,2.629468962550163269e-02
5.950000000000000427e-02,2.844440378248691559e-02
6.350000000000000089e-02,3.034989349544048309e-02
6.800000000000000488e-02,3.248640149831771851e-02
7.200000000000000844e-02,3.437745943665504456e-02
7.649999999999999856e-02,3.649963811039924622e-02
8.050000000000000211e-02,3.837703168392181396e-02
8.500000000000000611e-02,4.048814997076988220e-02
8.899999999999999578e-02,4.236191138625144958e-02
9.349999999999999978e-02,4.447557404637336731e-02
9.750000000000000333e-02,4.636014997959136963e-02
1.015000000000000069e-01,4.824241250753402710e-02
1.059999999999999970e-01,5.036536231637001038e-02
1.100000000000000006e-01,5.225204303860664368e-02
1.145000000000000046e-01,5.438071489334106445e-02
1.185000000000000081e-01,5.627993494272232056e-02
1.229999999999999982e-01,5.841179564595222473e-02
1.270000000000000018e-01,6.029192358255386353e-02
1.315000000000000058e-01,6.239804252982139587e-02
1.355000000000000093e-01,6.426803022623062134e-02
1.400000000000000133e-01,6.637082993984222412e-02
1.440000000000000169e-01,6.824003159999847412e-02
1.484999999999999931e-01,7.033373415470123291e-02
1.524999999999999967e-01,7.219004631042480469e-02
1.565000000000000002e-01,7.405599951744079590e-02
1.610000000000000042e-01,7.616280019283294678e-02
1.650000000000000078e-01,7.803721725940704346e-02
1.695000000000000118e-01,8.015079796314239502e-02
1.735000000000000153e-01,8.203900605440139771e-02
1.779999999999999916e-01,8.416372537612915039e-02
1.819999999999999951e-01,8.604259043931961060e-02
1.864999999999999991e-01,8.815064281225204468e-02
1.905000000000000027e-01,9.002338349819183350e-02
1.950000000000000067e-01,9.211953729391098022e-02
1.990000000000000102e-01,9.397403150796890259e-02
2.030000000000000138e-01,9.583452343940734863e-02
2.075000000000000178e-01,9.792490303516387939e-02
2.114999999999999936e-01,9.978865087032318115e-02
2.159999999999999976e-01,1.018937528133392334e-01
2.200000000000000011e-01,1.037607267498970032e-01
2.245000000000000051e-01,1.058628782629966736e-01
2.285000000000000087e-01,1.077315807342529297e-01
2.330000000000000127e-01,1.098293662071228027e-01
2.370000000000000162e-01,1.116972640156745911e-01
2.414999999999999925e-01,1.137947067618370056e-01
2.454999999999999960e-01,1.156416982412338257e-01
2.500000000000000000e-01,1.177151501178741455e-01
